REST_disc10; CpG Island 33
ESRRA_known5; CpG Island 33
ESRRA_disc3; CpG Island 33
NR4A_known1; CpG Island 33
ESRRA_disc2; CpG Island 33
NR5A1_1; CpG Island 33
NR5A1_2; CpG Island 33
ESRRB_1; CpG Island 33
ESRRA_known8; CpG Island 33
ESRRG_2; CpG Island 33
ESRRA_known10; CpG Island 33
HF1H3B_1; CpG Island 33
POU2F2_disc2; CpG Island 33
SP1_known5; CpG Island 33
IRF_disc4; CpG Island 33
SP1_known8; CpG Island 33
CCNT2_disc2; CpG Island 33
PAX4_3; CpG Island 33
SP1_known4; CpG Island 33
KLF4_1; CpG Island 33
TATA_disc4; CpG Island 33
VDR_3; CpG Island 33
HNF4_disc5; CpG Island 33
TCF7L2_known7; CpG Island 34
IRF_known9; CpG Island 34
HOXA13_1; CpG Island 34
HOXC13_1; CpG Island 34
HOXA13_3; CpG Island 34
HOXA13_5; CpG Island 34
HOXB13_3; CpG Island 34
HOXC13_3; CpG Island 34
HOXD11_2; CpG Island 34
HOXD13_3; CpG Island 34
HOXC10_5; CpG Island 34
HOXD13_5; CpG Island 34
HOXD9_3; CpG Island 34
POU3F2_1; CpG Island 34
NR2C2_disc1; CpG Island 34
BPTF_1; CpG Island 34
ZBTB7A_known2; CpG Island 34
ZNF350_1; CpG Island 34
HDAC2_disc6; CpG Island 34
FOXA_known1; CpG Island 34
HDAC2_disc2; CpG Island 34
HDAC2_disc6; CpG Island 34
HDAC2_disc6; CpG Island 34
ZEB1_disc1; CpG Island 34
PAX4_4; CpG Island 34
SRF_disc2; CpG Island 34
SP1_known1; CpG Island 34
FOXC1_2; CpG Island 34
TRIM28_disc2; CpG Island 34
CTCF_disc8; CpG Island 34
TFAP2_known2; CpG Island 34
TFAP2_known2; CpG Island 34
TFAP2_known3; CpG Island 34
TFAP2_known8; CpG Island 34
TFAP2_known8; CpG Island 34
NANOG_disc2; CpG Island 39
PAX5_disc3; CpG Island 39
RXRA_disc4; CpG Island 39
HOXB9_1; CpG Island 39
CDX_1; CpG Island 39
FOXD2_1; CpG Island 39
FOXD3_3; CpG Island 39
FOXJ2_2; CpG Island 39
CEBPG_1; CpG Island 39
IKZF2_3; CpG Island 40
POU5F1_known3; CpG Island 40
SOX2_1; CpG Island 40
ZSCAN4_1; CpG Island 40
IKZF2_3; CpG Island 40
CUX1_1; CpG Island 40
AIRE_1; CpG Island 40
ISL2_1; CpG Island 40
POU2F2_known4; CpG Island 40
POU1F1_5; CpG Island 40
POU3F3_2; CpG Island 40
FOXP1_1; CpG Island 40
POU3F1_2; CpG Island 40
FOXL1_2; CpG Island 40
SOX7_4; CpG Island 40
SOX7_4; CpG Island 40
SOX9_9; CpG Island 40
SOX3_3; CpG Island 40
SOX14_3; CpG Island 40
SOX15_4; CpG Island 40
SOX15_4; CpG Island 40
SOX18_4; CpG Island 40
SOX18_4; CpG Island 40
SOX2_3; CpG Island 40
SOX2_3; CpG Island 40
SOX17_5; CpG Island 40
SOX17_5; CpG Island 40
SRY_8; CpG Island 40
SRY_8; CpG Island 40
POU3F3_1; CpG Island 40
POU3F1_3; CpG Island 40
POU3F3_3; CpG Island 40
POU1F1_1; CpG Island 40
POU1F1_2; CpG Island 40
POU4F3_2; CpG Island 40
NFAT_1; CpG Island 40
FOXG1_1; CpG Island 40
HOXB8_1; CpG Island 40
NKX6-1_1; CpG Island 40
HOXD9_2; CpG Island 40
MAFG_1; CpG Island 40
MAF_known7; CpG Island 40
MAF_known7; CpG Island 40
MAF_disc1; CpG Island 40
FOXP1_1; CpG Island 40
HOXB13_1; CpG Island 40
HOXD13_1; CpG Island 40
HOXA13_2; CpG Island 40
HOXA13_4; CpG Island 40
HOXB13_2; CpG Island 40
HOXC13_2; CpG Island 40
HOXD13_2; CpG Island 40
HOXD13_4; CpG Island 40
HOXD9_1; CpG Island 40
NR3C1_known1; CpG Island 41
NR3C1_known15; CpG Island 41
NR3C1_known4; CpG Island 41
RREB1_1; CpG Island 41
CEBPB_known1; CpG Island 41
NR2C2_disc2; CpG Island 41
ZIC2_1; CpG Island 41
TFAP2B_1; CpG Island 41
TFAP2_known11; CpG Island 41
TFAP2B_2; CpG Island 41
TFAP2_known14; CpG Island 41
TFAP2_known17; CpG Island 41
TFAP2_known20; CpG Island 41
NFKB_known1; CpG Island 41
NFKB_known1; CpG Island 41
REST_known1; CpG Island 41
REST_known2; CpG Island 41
NFKB_known8; CpG Island 41
NFKB_known8; CpG Island 41
BHLHE40_disc2; CpG Island 41
TFAP2_known1; CpG Island 41
REST_disc5; CpG Island 41
SIN3A_disc5; CpG Island 41
ZNF143_disc3; CpG Island 41
ESRRA_disc4; CpG Island 41
KLF16_1; CpG Island 41
SP1_known9; CpG Island 41
BDP1_disc3; CpG Island 41
POU2F2_disc2; CpG Island 41
BCL_disc8; CpG Island 41
REST_disc4; CpG Island 41
SEF1_1; CpG Island 41
MYOD1_1; CpG Island 41
TFAP4_2; CpG Island 41
TFAP4_3; CpG Island 41
BATF_disc3; CpG Island 41
MYOD1_3; CpG Island 41
REST_disc5; CpG Island 41
SIN3A_disc5; CpG Island 41
NR1H4_3; CpG Island 41
TRIM28_disc2; CpG Island 41
RAD21_disc8; CpG Island 41
EGR1_known4; CpG Island 41
HNF4_known12; CpG Island 41
TATA_disc1; CpG Island 41
YY1_known4; CpG Island 41
FOXL1_1; CpG Island 41
FOXI1_2; CpG Island 41
FOXC1_6; CpG Island 41
FOXO4_1; CpG Island 42
DMRTA1_1; CpG Island 42
MEF2_known5; CpG Island 42
MEF2_known6; CpG Island 42
MEF2_known9; CpG Island 42
MEF2_disc1; CpG Island 42
SOX21_1; CpG Island 42
SOX21_1; CpG Island 42
ZNF35_1; CpG Island 42
SOX21_1; CpG Island 42
SOX21_1; CpG Island 42
SOX7_2; CpG Island 42
SRY_6; CpG Island 42
SRY_6; CpG Island 42
FOXJ2_2; CpG Island 42
PAX2_4; CpG Island 42
PAX5_known5; CpG Island 42
PAX5_disc1; CpG Island 42
TFAP2_known5; CpG Island 42
POU5F1_disc2; CpG Island 42
RAD21_disc5; CpG Island 42
TFAP2_known18; CpG Island 42
ZFX_1; CpG Island 42
SRF_disc2; CpG Island 42
ATF3_known9; CpG Island 42
EP300_disc9; CpG Island 42
BHLHE40_disc2; CpG Island 42
SMAD_1; CpG Island 42
SMC3_disc2; CpG Island 42
NR3C1_known1; CpG Island 42
NR3C1_known15; CpG Island 42
NR3C1_known4; CpG Island 42
RREB1_1; CpG Island 42
CEBPB_known1; CpG Island 42
NR2C2_disc2; CpG Island 42
ZIC2_1; CpG Island 42
TFAP2B_1; CpG Island 42
TFAP2_known11; CpG Island 42
TFAP2B_2; CpG Island 42
TFAP2_known14; CpG Island 42
TFAP2_known17; CpG Island 42
TFAP2_known20; CpG Island 42
NFKB_known1; CpG Island 42
NFKB_known1; CpG Island 42
REST_known1; CpG Island 42
REST_known2; CpG Island 42
NFKB_known8; CpG Island 42
NFKB_known8; CpG Island 42
BHLHE40_disc2; CpG Island 42
TFAP2_known1; CpG Island 42
HES1_1; CpG Island 43
CTCF_disc7; CpG Island 43
SMC3_disc4; CpG Island 43
MYB_2; CpG Island 43
TCF3_1; CpG Island 43
ESRRA_disc4; CpG Island 43
IKZF1_2; CpG Island 43
MZF1_1; CpG Island 43
ZNF423_2; CpG Island 43
TCF12_disc5; CpG Island 43
MXI1_known1; CpG Island 43
SP1_known1; CpG Island 43
CACBP_1; CpG Island 43
RARB_1; CpG Island 43
ZNF282_1; CpG Island 43
THRB_2; CpG Island 43
HNF4_disc5; CpG Island 43
PBX3_disc3; CpG Island 43
RREB1_2; CpG Island 43
RREB1_2; CpG Island 43
RREB1_1; CpG Island 43
ZNF281_1; CpG Island 43
SP1_disc3; CpG Island 43
HF1H3B_1; CpG Island 43
ZNF281_1; CpG Island 43
KLF7_1; CpG Island 43
CACBP_1; CpG Island 43
SP1_known6; CpG Island 43
KLF16_1; CpG Island 43
SP1_known8; CpG Island 43
CCNT2_disc2; CpG Island 43
E2F_known7; CpG Island 43
SREBP_known4; CpG Island 43
EBF1_known4; CpG Island 43
ZBTB33_disc2; CpG Island 43
RBPJ_1; CpG Island 43
SOX13_1; CpG Island 46
POU2F2_known16; CpG Island 46
POU2F2_known16; CpG Island 46
POU2F2_3; CpG Island 46
POU2F2_3; CpG Island 46
POU2F2_4; CpG Island 46
POU2F3_3; CpG Island 46
POU3F3_4; CpG Island 46
POU5F1_known5; CpG Island 46
NANOG_disc4; CpG Island 46
POU5F1_disc2; CpG Island 46
SRF_disc2; CpG Island 47
RAD21_disc8; CpG Island 47
MYC_disc9; CpG Island 47
RAD21_disc7; CpG Island 47
DOBOX4_1; CpG Island 47
SMAD_1; CpG Island 47
STAT_known9; CpG Island 47
HSF2_1; CpG Island 47
HSF_known4; CpG Island 47
HSF_known5; CpG Island 47
HSF2_2; CpG Island 47
HSF4_1; CpG Island 47
FOXJ3_4; CpG Island 47
ZEB1_known1; CpG Island 47
GLI2_1; CpG Island 47
PRDM1_known2; CpG Island 47
PRDM1_disc1; CpG Island 47
RAD21_disc7; CpG Island 47
NR3C1_disc4; CpG Island 47
ZNF384_1; CpG Island 48
SP1_disc1; CpG Island 48
SP2_disc3; CpG Island 48
ZBTB7A_disc2; CpG Island 48
SP1_disc3; CpG Island 48
HNF4_disc5; CpG Island 48
IRF_disc5; CpG Island 48
MEF2_disc2; CpG Island 48
YY1_disc4; CpG Island 48
BCL_disc9; CpG Island 48
TFAP2_known4; CpG Island 48
CTCF_disc8; CpG Island 48
EP300_disc9; CpG Island 48
